ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,上海,华院数据,5,False,1,False,300,150,自然语言处理\数据挖掘工,05-16,intern,https://sxsimg.xiaoyuanzhao.com/A6/2F/A6E5AC0CBBFF93E3E8A2F078A306422F.jpg,inn_nib41hzexd1j
f,上海,华院数据,5,False,1,False,200,150,计算机研究员,05-16,intern,https://sxsimg.xiaoyuanzhao.com/A6/2F/A6E5AC0CBBFF93E3E8A2F078A306422F.jpg,inn_wee2wpagrgzl
f,北京,天眼查,4,False,1,False,400,200,算法实习生（数据挖掘方向）,05-16,intern,https://sxsimg.xiaoyuanzhao.com/37/F8/3753A483BED8D94592C969EB44569BF8.png,inn_2vfnprrtyklt
f,深圳,北斗院,5,False,1,False,100,99,数据挖掘实习生,05-16,intern,https://sxsimg.xiaoyuanzhao.com/2C/E9/2CBD1D0433DB49CEDEDDAA044BA9B3E9.png,inn_pmjgeec2jxij
f,上海,百胜中国,4,False,1,False,200,199,数据分析实习生,05-16,intern,https://sxsimg.xiaoyuanzhao.com/BC/28/BC9E52C4D3CF4C7266746E2156A1B028.png,inn_xzmmswuxpuho
f,青岛,青岛莱信,5,False,1,False,200,150,大数据分析师实习生,05-16,intern,https://sxsimg.xiaoyuanzhao.com/AB/50/AB5D542A45C73AF8E10B7FB6424A3F50.jpg,inn_o5ojidacjgtd
f,广州,广州银行信用卡中心,3,False,1,False,80,79,BI开发实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/6C/9C/6CB2E7EC5B30AFEA56F73924C9844E9C.jpg,inn_rxv9eoknafhv
f,宁波,萌牙,5,False,1,False,180,120,数据分析师/数据实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/00/7A/0090D5AC76FF6ECF0D1A029944E4C87A.png,inn_cbth6d1rqure
f,宁波,萌牙,5,False,1,False,180,120,数据分析实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/00/7A/0090D5AC76FF6ECF0D1A029944E4C87A.png,inn_q2gsifs0uxqy
f,全国,人人车,5,False,1,False,200,150,数据方向产品实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/5A/BF/5A266301AD7412A4E6B12B1E03971BBF.jpg,inn_qhkura1u6zc7
f,北京,人人车,5,False,1,False,200,150,数据挖掘实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/5A/BF/5A266301AD7412A4E6B12B1E03971BBF.jpg,inn_get0s3r9csrl
f,北京,途家网,5,False,1,False,180,150,海外事业部-爬虫工程师（实习）,05-15,intern,https://sxsimg.xiaoyuanzhao.com/55/01/55905E3F07033E92F2BA7489B7B15401.jpg,inn_lhedopahcgvc
f,南京,佳泰得,3,False,1,False,150,100,程序员（储备经理）,05-15,intern,https://sxsimg.xiaoyuanzhao.com/BB/2D/BB42507654D5F169C05789FDEF01AA2D.png,inn_myuuj9faa31y
f,南京,佳泰得,5,False,1,False,150,100,大数据工程师（储备经理）,05-15,intern,https://sxsimg.xiaoyuanzhao.com/BB/2D/BB42507654D5F169C05789FDEF01AA2D.png,inn_sdwf2a0qksds
f,北京,感易智能,4,False,1,False,400,250,数据挖掘算法实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/54/63/5466ED62273D397448CEE4E635AA7E63.png,inn_o8imzoxkzeps
f,北京,小糖互联,4,False,1,False,200,150,数据分析师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/7B/5A/7BD019957BD80557FFDF08DDAE435B5A.jpg,inn_ehu1utmpkkbp
f,广州,Datastory数说故事,5,False,1,False,260,130,爬虫工程师实习生-广州-00143,05-15,intern,https://sxsimg.xiaoyuanzhao.com/4B/DE/4BCA14665F5C0B4AA5DB19456680B3DE.png,inn_qxlfppzxeg8g
f,上海,克顿传媒,5,False,1,False,150,100,助理分析师（影视制作方向）,05-15,intern,https://sxsimg.xiaoyuanzhao.com/8E/D5/8E0C2708C7DC158E5786E9AE638823D5.png,inn_pp6j9eljuiq9
f,北京,途家网,4,False,1,False,180,150,爬虫工程师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/26/D9/26C01C71908CC0942AF7B34039E9C7D9.jpg,inn_7osopqua8mdi
f,北京,国科大数据挖掘与高性能计算实验室,5,False,1,False,300,150,FPGA工程师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/6D/A6/6DC2EFDF87AE79B1717ADBB429132BA6.jpg,inn_bfzcuiu1plli
f,上海,群星金融,5,False,1,False,150,130,数据分析,05-15,intern,https://sxsimg.xiaoyuanzhao.com/E0/85/E049BDED88C35900A8EF47AF2FB48B85.png,inn_cwlbbk7tk3wl
f,北京,国科大数据挖掘与高性能计算实验室,5,False,0,False,300,150,硬件设计工程师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/6D/A6/6DC2EFDF87AE79B1717ADBB429132BA6.jpg,inn_xnjwzibb46wh
f,北京,国科大数据挖掘与高性能计算实验室,5,False,0,False,300,150,软件工程师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/6D/A6/6DC2EFDF87AE79B1717ADBB429132BA6.jpg,inn_vhpul18fcazp
f,北京,美团点评,4,False,1,False,300,200,机器学习/数据挖掘算法工程师（实习）,05-15,intern,https://sxsimg.xiaoyuanzhao.com/B3/68/B376BC157CC6781EEA49E553BF807668.jpg,inn_3ixfi82gppi2
f,上海,麦子健康科技,2,False,1,False,300,200,人工智能实习生（算法/机器学习/深度学习）,05-15,intern,https://sxsimg.xiaoyuanzhao.com/B1/B1/B1F1BFE4778C54240317BCFBC5C115B1.png,inn_mzrhaht9sek7
f,北京,感易智能,4,False,1,False,400,200,NLP数据标注实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/54/63/5466ED62273D397448CEE4E635AA7E63.png,inn_gw2q17gq93eo
f,北京,鼎泰泽丰,5,False,1,False,200,100,数据挖掘算法工程师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/CF/6D/CFDE6A2C877E529BAD2E75AA451F716D.png,inn_eki2cv8cxpck
f,北京,申请方,3,False,1,False,120,100,数据建模实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-43/eRmTOiQFMlf7HUN.jpg,inn_ici8escmai2m
f,北京,滴滴出行,4,False,1,False,300,200,数据挖掘实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/CF/03/CF68C6D9B996C165F8281689193D7303.jpg,inn_u3ev64bnf5nv
f,厦门,白山云科技,5,False,1,False,199,150,数据挖掘工程师(校招）,05-15,intern,https://sxsimg.xiaoyuanzhao.com/2F/B2/2FB7EC440126B775AD4A0A2A237D28B2.jpg,inn_tyvvewzi9wmc
f,北京,摩比神奇,5,False,1,False,200,150,数据分析师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/FA/CE/FAF0889843AB96D6E57BC9AB13E55DCE.jpg,inn_fcss4ebugf1m
f,北京,脉讯在线,4,False,1,False,400,300,数据挖掘实习,05-15,intern,https://sxsimg.xiaoyuanzhao.com/D0/57/D08F6EF250D4F6021F4179300373F657.png,inn_uyknxg8lazng
f,上海,Quantum One,3,False,1,False,200,150,大数据实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/2E/1B/2E7F9B49952A4454E27ACF53B305BD1B.jpg,inn_9e3ysxs2ckqx
f,合肥,乐职网,5,False,1,False,200,120,数据采集工程师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/EA/D8/EAE78B61C09E654823DE14C693249FD8.jpg,inn_7qozj5qdohn8
f,合肥,乐职网,5,False,1,False,200,100,数据分析师,05-15,intern,https://sxsimg.xiaoyuanzhao.com/EA/D8/EAE78B61C09E654823DE14C693249FD8.jpg,inn_vd7jtpae03j3
f,合肥,乐职网,3,False,1,False,200,150,数据挖掘/NLP工程师实习生,05-15,intern,https://sxsimg.xiaoyuanzhao.com/EA/D8/EAE78B61C09E654823DE14C693249FD8.jpg,inn_75tz3sbuhktq
f,北京,罗辑思维 得到,5,False,1,False,300,200,数据挖掘实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/40/C0/40472E5B9D1C886634BAAC92913E8DC0.png,inn_sj3cez8plun7
f,北京,最右,5,False,1,False,200,150,机器学习/数据挖掘/自然语言处理工程师实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/C1/9F/C13AE8C872F286AE8CD974E23D225F9F.png,inn_xzcxbxxg8twu
f,北京,百度,5,False,1,False,220,170,北京_策略（机器学习/数据挖掘）实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/3E/3D/3E1F42C4AC29CDADFB729234AF43E03D.jpg,inn_otlrzg6kz4zq
f,北京,滴滴,4,False,1,False,250,200,数据分析实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/CF/03/CF68C6D9B996C165F8281689193D7303.jpg,inn_omtiq0qnj9ug
f,北京,网易有道,4,False,1,False,250,200,数据挖掘实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,inn_ezjwvz2njkdn
f,深圳,海知智能,4,False,1,False,260,230,爬虫开发实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/23/2C/23B01C79D545CF4203ABF105D63F042C.png,inn_uroydaexljez
f,上海,携程旅行网,5,False,1,False,200,150,数据分析师,05-14,intern,https://sxsimg.xiaoyuanzhao.com/E6/53/E63D7B5799BFEE9E50E28BF670026D53.png,inn_j1ype7dbrlxb
