monthSales,originalPrice,praiseContent,price,productName,productSpuId,productStatus,promotionInfo,wmPoiId,city,province,store
55,19.8,赞1,19.8,妃子笑荔枝 一骑红尘妃子笑 不少于500g,1520041110,0,,1067966274783994,沙河,河北省,聚果轩水果干果零食超市（新兴路店）
0,15.5,赞0,15.5,妃子笑荔枝 1斤装,894424129,0,,901824054831924,沙河,河北省,优滋果栈（新兴路店）
6,9,赞0,9,妃子笑,817696210,0,,859063360430807,武安,河北省,果然汁己
0,18,赞0,18,妃子笑荔枝,859817692,0,,971359575355395,长治,山西省,诚信志远果业（大庆路店）
0,16.88,赞0,16.88,妃子笑荔枝/500g 500g,1541220831,0,,848798388603905,晋城,山西省,购实惠蔬菜水果（晋城总店）
41,19.8,赞1,19.8,海南 妃子笑鲜荔枝 小核甜,1479041233,0,,928285348377049,忻州,山西省,果美多水果店
12,18,赞1,18,新鲜妃子笑荔枝 甜,1502203289,0,,928285348377049,忻州,山西省,果美多水果店
0,22,赞0,22,妃子笑荔枝500g,1543278387,0,,1065754366631318,忻州,山西省,华美超级商场（七一路店）
7,22,赞0,22,妃子笑荔枝/斤 水份大甜,1525913802,0,,903872754241372,吕梁,山西省,鲜果流（中央公园店）
2,20,赞0,20,海南 妃子笑荔枝 500克,1546113128,0,,873734968761360,吕梁,山西省,一号鲜果
0,88,赞0,88,海南 妃子笑 一筐净重足6斤,1549047030,0,,1014343608045295,晋中,山西省,乐客水果（银海店）
0,15.8,赞0,15.8,妃子笑荔枝 一斤,1544932371,0,,1014343608045295,晋中,山西省,乐客水果（银海店）
0,20,赞0,20,妃子笑荔枝 尝鲜小盒200,1533791499,0,,1005010644134885,晋中,山西省,水果干果
0,40,赞0,40,妃子笑荔枝 500g,1541349828,0,,848459086193538,晋中,山西省,小芳鲜果时光
6,34.8,赞0,34.8,妃子笑荔枝,837296004,0,,916169245617799,潞城,山西省,亚南水果
0,35,赞0,35,妃子笑荔枝,1521310981,0,,1108957442606333,原平,山西省,果香园（京原南路店）
0,25,赞0,25,新鲜妃子笑荔枝一盒装,268557721,0,,894075933822249,孝义,山西省,水果1号
2,14.8,赞0,14.8,妃子笑,1498487784,0,,881143787294939,汾阳,山西省,果姿果态
5,35,赞0,35,妃子笑荔枝每斤,829238147,0,,962391683680680,介休,山西省,玉宝水果烟酒茶（瓜市街店）
2,28,赞0,28,妃子笑荔枝/500g 酸酸甜甜 汁水充足 500g,1520826871,0,,1083415272154777,介休,山西省,果缤纷（盛华丽园店）
0,28,赞0,28,妃子笑荔枝/500g 500g,1542705445,0,,1005702133904472,介休,山西省,三肉干鲜水果店
0,8,赞0,5.6,芝芝妃子笑,1021173876,0,7.0折,855494242614464,侯马,山西省,咖啡爱上茶
0,12.9,赞0,12.9,妃子笑,459159639,0,,937704211616208,霍州,山西省,老友居休闲吧
2,45.8,赞0,41.22,妃子笑荔枝一斤,1502173912,0,9.0折,1111341149458909,呼和浩特,内蒙古自治区,跑得快精品水果
0,23,赞0,23,妃子笑荔枝一斤,1521748777,0,,1081392342544266,呼和浩特,内蒙古自治区,放心粮油手擀面（吕祖庙店）
13,14,赞0,14,妃子笑荔枝 14元每斤,1461999642,0,,873004824274016,赤峰,内蒙古自治区,果满园蔬菜水果
